Description,Year,Population,Count or Estimate,State or County Release
"Lewis County, NY",2019,26329,Estimate,County
"Lewis County, NY",2020,26187,Estimate,County
"Livingston County, NY",2015,64336,Estimate,County
"Livingston County, NY",2016,64013,Estimate,County
"Livingston County, NY",2017,63503,Estimate,County
"Livingston County, NY",2018,63281,Estimate,County
"Livingston County, NY",2019,62893,Estimate,County
"Livingston County, NY",2020,62398,Estimate,County
"Madison County, NY",2015,71779,Estimate,County
"Madison County, NY",2016,71426,Estimate,County
"Madison County, NY",2017,70993,Estimate,County
"Madison County, NY",2018,71180,Estimate,County
"Madison County, NY",2019,70875,Estimate,County
"Madison County, NY",2020,70478,Estimate,County
"Monroe County, NY",2015,745847,Estimate,County
"Monroe County, NY",2016,744150,Estimate,County
"Monroe County, NY",2017,743528,Estimate,County
"Monroe County, NY",2018,744239,Estimate,County
"Monroe County, NY",2019,742605,Estimate,County
"Monroe County, NY",2020,740900,Estimate,County
"Montgomery County, NY",2015,49576,Estimate,County
"Montgomery County, NY",2016,49242,Estimate,County
"Montgomery County, NY",2017,49203,Estimate,County
"Montgomery County, NY",2018,49502,Estimate,County
"Montgomery County, NY",2019,49355,Estimate,County
"Montgomery County, NY",2020,49170,Estimate,County
"Nassau County, NY",2015,1354987,Estimate,County
"Nassau County, NY",2016,1356067,Estimate,County
"Nassau County, NY",2017,1357260,Estimate,County
"Nassau County, NY",2018,1357423,Estimate,County
"Nassau County, NY",2019,1356073,Estimate,County
"Nassau County, NY",2020,1351334,Estimate,County
"New York County, NY",2015,1637327,Estimate,County
"New York County, NY",2016,1636721,Estimate,County
"New York County, NY",2017,1632337,Estimate,County
"New York County, NY",2018,1632393,Estimate,County
"New York County, NY",2019,1632326,Estimate,County
"New York County, NY",2020,1611989,Estimate,County
"Niagara County, NY",2015,212391,Estimate,County
"Niagara County, NY",2016,211555,Estimate,County
"Niagara County, NY",2017,210911,Estimate,County
"Niagara County, NY",2018,210300,Estimate,County
"Niagara County, NY",2019,209563,Estimate,County
"Niagara County, NY",2020,208396,Estimate,County
"Oneida County, NY",2015,231315,Estimate,County
"Oneida County, NY",2016,230372,Estimate,County
"Oneida County, NY",2017,229980,Estimate,County
"Oneida County, NY",2018,229431,Estimate,County
"Oneida County, NY",2019,228240,Estimate,County
"Oneida County, NY",2020,227346,Estimate,County
"Onondaga County, NY",2015,466320,Estimate,County
"Onondaga County, NY",2016,464139,Estimate,County
"Onondaga County, NY",2017,461843,Estimate,County
"Onondaga County, NY",2018,461890,Estimate,County
"Onondaga County, NY",2019,460870,Estimate,County
"Onondaga County, NY",2020,459214,Estimate,County
"Ontario County, NY",2015,109324,Estimate,County
"Ontario County, NY",2016,109348,Estimate,County
"Ontario County, NY",2017,109652,Estimate,County
"Ontario County, NY",2018,109962,Estimate,County
"Ontario County, NY",2019,109984,Estimate,County
"Ontario County, NY",2020,110091,Estimate,County
"Orange County, NY",2015,375911,Estimate,County
"Orange County, NY",2016,377894,Estimate,County
"Orange County, NY",2017,379896,Estimate,County
"Orange County, NY",2018,382411,Estimate,County
"Orange County, NY",2019,384950,Estimate,County
"Orange County, NY",2020,385234,Estimate,County
"Orleans County, NY",2015,41482,Estimate,County
"Orleans County, NY",2016,41270,Estimate,County
"Orleans County, NY",2017,40815,Estimate,County
"Orleans County, NY",2018,40708,Estimate,County
"Orleans County, NY",2019,40351,Estimate,County
"Orleans County, NY",2020,39978,Estimate,County
"Oswego County, NY",2015,119764,Estimate,County
"Oswego County, NY",2016,118907,Estimate,County
"Oswego County, NY",2017,118444,Estimate,County
"Oswego County, NY",2018,117520,Estimate,County
"Oswego County, NY",2019,116934,Estimate,County
"Oswego County, NY",2020,116346,Estimate,County
"Otsego County, NY",2015,60524,Estimate,County
"Otsego County, NY",2016,60135,Estimate,County
"Otsego County, NY",2017,59955,Estimate,County
"Otsego County, NY",2018,59828,Estimate,County
"Otsego County, NY",2019,59347,Estimate,County
"Otsego County, NY",2020,58701,Estimate,County
"Putnam County, NY",2015,99158,Estimate,County
"Putnam County, NY",2016,98753,Estimate,County
"Putnam County, NY",2017,98901,Estimate,County
"Putnam County, NY",2018,98871,Estimate,County
"Putnam County, NY",2019,98511,Estimate,County
"Putnam County, NY",2020,98532,Estimate,County
"Queens County, NY",2015,2305252,Estimate,County
"Queens County, NY",2016,2306249,Estimate,County
"Queens County, NY",2017,2295226,Estimate,County
"Queens County, NY",2018,2275286,Estimate,County
"Queens County, NY",2019,2253942,Estimate,County
"Queens County, NY",2020,2225821,Estimate,County
"Rensselaer County, NY",2015,159413,Estimate,County
"Rensselaer County, NY",2016,159311,Estimate,County
"Rensselaer County, NY",2017,159214,Estimate,County
"Rensselaer County, NY",2018,159452,Estimate,County
"Rensselaer County, NY",2019,158981,Estimate,County
"Rensselaer County, NY",2020,158108,Estimate,County
"Richmond County, NY",2015,472301,Estimate,County
"Richmond County, NY",2016,474160,Estimate,County
"Richmond County, NY",2017,475819,Estimate,County
"Richmond County, NY",2018,476531,Estimate,County
"Richmond County, NY",2019,476141,Estimate,County
"Richmond County, NY",2020,475327,Estimate,County
"Rockland County, NY",2015,322938,Estimate,County
"Rockland County, NY",2016,323231,Estimate,County
"Rockland County, NY",2017,324600,Estimate,County
"Rockland County, NY",2018,325656,Estimate,County
"Rockland County, NY",2019,326352,Estimate,County
"Rockland County, NY",2020,326225,Estimate,County
"St. Lawrence County, NY",2015,110399,Estimate,County
"St. Lawrence County, NY",2016,109506,Estimate,County
"St. Lawrence County, NY",2017,108768,Estimate,County
"St. Lawrence County, NY",2018,108534,Estimate,County
"St. Lawrence County, NY",2019,107766,Estimate,County
"St. Lawrence County, NY",2020,107185,Estimate,County
"Saratoga County, NY",2015,226182,Estimate,County
"Saratoga County, NY",2016,227189,Estimate,County
"Saratoga County, NY",2017,229314,Estimate,County
"Saratoga County, NY",2018,230127,Estimate,County
"Saratoga County, NY",2019,229635,Estimate,County
"Saratoga County, NY",2020,230298,Estimate,County
"Schenectady County, NY",2015,154773,Estimate,County
"Schenectady County, NY",2016,154473,Estimate,County
"Schenectady County, NY",2017,154716,Estimate,County
"Schenectady County, NY",2018,155334,Estimate,County
"Schenectady County, NY",2019,155548,Estimate,County
"Schenectady County, NY",2020,155358,Estimate,County
"Schoharie County, NY",2015,31408,Estimate,County
"Schoharie County, NY",2016,31318,Estimate,County
"Schoharie County, NY",2017,31260,Estimate,County
"Schoharie County, NY",2018,31182,Estimate,County
"Schoharie County, NY",2019,31052,Estimate,County
"Schoharie County, NY",2020,31132,Estimate,County
"Schuyler County, NY",2015,18037,Estimate,County
"Schuyler County, NY",2016,17976,Estimate,County
"Schuyler County, NY",2017,17910,Estimate,County
"Schuyler County, NY",2018,17842,Estimate,County
"Schuyler County, NY",2019,17812,Estimate,County
"Schuyler County, NY",2020,17685,Estimate,County
"Seneca County, NY",2015,34814,Estimate,County
"Seneca County, NY",2016,34725,Estimate,County
"Seneca County, NY",2017,34293,Estimate,County
"Seneca County, NY",2018,34277,Estimate,County
"Seneca County, NY",2019,34189,Estimate,County
"Seneca County, NY",2020,33991,Estimate,County
"Steuben County, NY",2015,97549,Estimate,County
"Steuben County, NY",2016,96975,Estimate,County
"Steuben County, NY",2017,96379,Estimate,County
"Steuben County, NY",2018,95876,Estimate,County
"Steuben County, NY",2019,95328,Estimate,County
"Steuben County, NY",2020,94657,Estimate,County
"Suffolk County, NY",2015,1491997,Estimate,County
"Suffolk County, NY",2016,1486699,Estimate,County
"Suffolk County, NY",2017,1483862,Estimate,County
"Suffolk County, NY",2018,1482275,Estimate,County
"Suffolk County, NY",2019,1478325,Estimate,County
"Suffolk County, NY",2020,1474273,Estimate,County
"Sullivan County, NY",2015,74850,Estimate,County
"Sullivan County, NY",2016,74913,Estimate,County
"Sullivan County, NY",2017,75000,Estimate,County
"Sullivan County, NY",2018,75381,Estimate,County
"Sullivan County, NY",2019,75551,Estimate,County
"Sullivan County, NY",2020,75802,Estimate,County
"Tioga County, NY",2015,49390,Estimate,County
"Tioga County, NY",2016,48858,Estimate,County
"Tioga County, NY",2017,48659,Estimate,County
"Tioga County, NY",2018,48515,Estimate,County
"Tioga County, NY",2019,48221,Estimate,County
"Tioga County, NY",2020,47904,Estimate,County
"Tompkins County, NY",2015,103187,Estimate,County
"Tompkins County, NY",2016,103042,Estimate,County
"Tompkins County, NY",2017,102731,Estimate,County
"Tompkins County, NY",2018,102382,Estimate,County
"Tompkins County, NY",2019,101971,Estimate,County
"Tompkins County, NY",2020,101058,Estimate,County
"Ulster County, NY",2015,179696,Estimate,County
"Ulster County, NY",2016,179045,Estimate,County
"Ulster County, NY",2017,178650,Estimate,County
"Ulster County, NY",2018,178510,Estimate,County
"Ulster County, NY",2019,177933,Estimate,County
"Ulster County, NY",2020,177716,Estimate,County
"Warren County, NY",2015,64449,Estimate,County
"Warren County, NY",2016,64525,Estimate,County
"Warren County, NY",2017,64406,Estimate,County
"Warren County, NY",2018,64269,Estimate,County
"Warren County, NY",2019,63980,Estimate,County
"Warren County, NY",2020,63756,Estimate,County
"Washington County, NY",2015,62277,Estimate,County
"Washington County, NY",2016,61812,Estimate,County
"Washington County, NY",2017,61600,Estimate,County
"Washington County, NY",2018,61335,Estimate,County
"Washington County, NY",2019,61168,Estimate,County
"Washington County, NY",2020,60606,Estimate,County
"Wayne County, NY",2015,91316,Estimate,County
"Wayne County, NY",2016,90823,Estimate,County
"Wayne County, NY",2017,90429,Estimate,County
"Wayne County, NY",2018,90110,Estimate,County
"Wayne County, NY",2019,89816,Estimate,County
"Wayne County, NY",2020,89339,Estimate,County
"Westchester County, NY",2015,968891,Estimate,County
"Westchester County, NY",2016,970461,Estimate,County
"Westchester County, NY",2017,970033,Estimate,County
"Westchester County, NY",2018,968928,Estimate,County
"Westchester County, NY",2019,968467,Estimate,County
"Westchester County, NY",2020,965802,Estimate,County
"Wyoming County, NY",2015,40939,Estimate,County
"Wyoming County, NY",2016,40450,Estimate,County
"Wyoming County, NY",2017,40296,Estimate,County
"Wyoming County, NY",2018,40068,Estimate,County
"Wyoming County, NY",2019,39858,Estimate,County
"Wyoming County, NY",2020,39465,Estimate,County
"Yates County, NY",2015,25145,Estimate,County
"Yates County, NY",2016,25080,Estimate,County
"Yates County, NY",2017,25021,Estimate,County
"Yates County, NY",2018,24959,Estimate,County
"Yates County, NY",2019,24902,Estimate,County
"Yates County, NY",2020,24780,Estimate,County
North Carolina,2015,10037218,Estimate,County
North Carolina,2016,10161802,Estimate,County
North Carolina,2017,10275758,Estimate,County
North Carolina,2018,10391358,Estimate,County
North Carolina,2019,10501384,Estimate,County
North Carolina,2020,10600823,Estimate,County
"Alamance County, NC",2015,157104,Estimate,County
"Alamance County, NC",2016,160358,Estimate,County
"Alamance County, NC",2017,163326,Estimate,County
"Alamance County, NC",2018,166516,Estimate,County
"Alamance County, NC",2019,169173,Estimate,County
"Alamance County, NC",2020,171346,Estimate,County
"Alexander County, NC",2015,36960,Estimate,County
"Alexander County, NC",2016,37120,Estimate,County
"Alexander County, NC",2017,37105,Estimate,County
"Alexander County, NC",2018,37272,Estimate,County
"Alexander County, NC",2019,37417,Estimate,County
"Alexander County, NC",2020,37441,Estimate,County
"Alleghany County, NC",2015,10855,Estimate,County
"Alleghany County, NC",2016,10928,Estimate,County
"Alleghany County, NC",2017,11004,Estimate,County
"Alleghany County, NC",2018,11165,Estimate,County
"Alleghany County, NC",2019,11134,Estimate,County
"Alleghany County, NC",2020,11194,Estimate,County
"Anson County, NC",2015,25616,Estimate,County
"Anson County, NC",2016,25173,Estimate,County
"Anson County, NC",2017,24856,Estimate,County
"Anson County, NC",2018,24487,Estimate,County
"Anson County, NC",2019,23538,Estimate,County
"Anson County, NC",2020,24097,Estimate,County
"Ashe County, NC",2015,26625,Estimate,County
"Ashe County, NC",2016,26595,Estimate,County
"Ashe County, NC",2017,26795,Estimate,County
"Ashe County, NC",2018,27122,Estimate,County
"Ashe County, NC",2019,27215,Estimate,County
"Ashe County, NC",2020,27166,Estimate,County
"Avery County, NC",2015,17494,Estimate,County
"Avery County, NC",2016,17450,Estimate,County
"Avery County, NC",2017,17522,Estimate,County
"Avery County, NC",2018,17509,Estimate,County
"Avery County, NC",2019,17496,Estimate,County
"Avery County, NC",2020,17571,Estimate,County
"Beaufort County, NC",2015,47403,Estimate,County
"Beaufort County, NC",2016,47407,Estimate,County
"Beaufort County, NC",2017,47097,Estimate,County
"Beaufort County, NC",2018,47127,Estimate,County
"Beaufort County, NC",2019,47096,Estimate,County
"Beaufort County, NC",2020,47073,Estimate,County
"Bertie County, NC",2015,20167,Estimate,County
"Bertie County, NC",2016,19414,Estimate,County
"Bertie County, NC",2017,19246,Estimate,County
"Bertie County, NC",2018,19072,Estimate,County
"Bertie County, NC",2019,18962,Estimate,County
"Bertie County, NC",2020,18712,Estimate,County
"Bladen County, NC",2015,34090,Estimate,County
"Bladen County, NC",2016,33657,Estimate,County
"Bladen County, NC",2017,33446,Estimate,County
"Bladen County, NC",2018,33169,Estimate,County
"Bladen County, NC",2019,32864,Estimate,County
"Bladen County, NC",2020,32911,Estimate,County
"Brunswick County, NC",2015,122322,Estimate,County
"Brunswick County, NC",2016,126422,Estimate,County
"Brunswick County, NC",2017,130996,Estimate,County
"Brunswick County, NC",2018,137071,Estimate,County
"Brunswick County, NC",2019,142987,Estimate,County
"Brunswick County, NC",2020,149039,Estimate,County
"Buncombe County, NC",2015,252160,Estimate,County
"Buncombe County, NC",2016,255222,Estimate,County
"Buncombe County, NC",2017,257408,Estimate,County
"Buncombe County, NC",2018,259726,Estimate,County
"Buncombe County, NC",2019,262049,Estimate,County
"Buncombe County, NC",2020,263477,Estimate,County
"Burke County, NC",2015,89337,Estimate,County
"Burke County, NC",2016,89444,Estimate,County
"Burke County, NC",2017,90143,Estimate,County
"Burke County, NC",2018,90309,Estimate,County
"Burke County, NC",2019,90424,Estimate,County
"Burke County, NC",2020,90418,Estimate,County
"Cabarrus County, NC",2015,196483,Estimate,County
"Cabarrus County, NC",2016,201737,Estimate,County
"Cabarrus County, NC",2017,206987,Estimate,County
"Cabarrus County, NC",2018,211483,Estimate,County
"Cabarrus County, NC",2019,216340,Estimate,County
"Cabarrus County, NC",2020,221479,Estimate,County
"Caldwell County, NC",2015,81554,Estimate,County
"Caldwell County, NC",2016,81829,Estimate,County
"Caldwell County, NC",2017,81961,Estimate,County
"Caldwell County, NC",2018,82116,Estimate,County
"Caldwell County, NC",2019,82275,Estimate,County
"Caldwell County, NC",2020,82100,Estimate,County
"Camden County, NC",2015,10284,Estimate,County
"Camden County, NC",2016,10385,Estimate,County
"Camden County, NC",2017,10517,Estimate,County
"Camden County, NC",2018,10613,Estimate,County
"Camden County, NC",2019,10770,Estimate,County
"Camden County, NC",2020,10984,Estimate,County
"Carteret County, NC",2015,68766,Estimate,County
"Carteret County, NC",2016,68875,Estimate,County
"Carteret County, NC",2017,69014,Estimate,County
"Carteret County, NC",2018,69547,Estimate,County
"Carteret County, NC",2019,69513,Estimate,County
"Carteret County, NC",2020,69558,Estimate,County
"Caswell County, NC",2015,22813,Estimate,County
"Caswell County, NC",2016,22749,Estimate,County
"Caswell County, NC",2017,22623,Estimate,County
"Caswell County, NC",2018,22691,Estimate,County
"Caswell County, NC",2019,22590,Estimate,County
"Caswell County, NC",2020,22443,Estimate,County
"Catawba County, NC",2015,155607,Estimate,County
"Catawba County, NC",2016,156517,Estimate,County
"Catawba County, NC",2017,157822,Estimate,County
"Catawba County, NC",2018,158521,Estimate,County
"Catawba County, NC",2019,159363,Estimate,County
"Catawba County, NC",2020,160307,Estimate,County
"Chatham County, NC",2015,68307,Estimate,County
"Chatham County, NC",2016,69680,Estimate,County
"Chatham County, NC",2017,71248,Estimate,County
"Chatham County, NC",2018,73171,Estimate,County
"Chatham County, NC",2019,74419,Estimate,County
"Chatham County, NC",2020,75748,Estimate,County
"Cherokee County, NC",2015,27126,Estimate,County
"Cherokee County, NC",2016,27860,Estimate,County
"Cherokee County, NC",2017,28000,Estimate,County
"Cherokee County, NC",2018,28425,Estimate,County
"Cherokee County, NC",2019,28708,Estimate,County
"Cherokee County, NC",2020,29073,Estimate,County
"Chowan County, NC",2015,14251,Estimate,County
"Chowan County, NC",2016,14209,Estimate,County
"Chowan County, NC",2017,14015,Estimate,County
"Chowan County, NC",2018,14019,Estimate,County
"Chowan County, NC",2019,13917,Estimate,County
"Chowan County, NC",2020,13815,Estimate,County
"Clay County, NC",2015,10644,Estimate,County
"Clay County, NC",2016,10785,Estimate,County
"Clay County, NC",2017,11033,Estimate,County
"Clay County, NC",2018,11149,Estimate,County
"Clay County, NC",2019,11277,Estimate,County
"Clay County, NC",2020,11505,Estimate,County
"Cleveland County, NC",2015,96881,Estimate,County
"Cleveland County, NC",2016,97037,Estimate,County
"Cleveland County, NC",2017,97198,Estimate,County
"Cleveland County, NC",2018,97593,Estimate,County
"Cleveland County, NC",2019,97964,Estimate,County
"Cleveland County, NC",2020,99035,Estimate,County
"Columbus County, NC",2015,56698,Estimate,County
"Columbus County, NC",2016,56324,Estimate,County
"Columbus County, NC",2017,56000,Estimate,County
"Columbus County, NC",2018,55764,Estimate,County
"Columbus County, NC",2019,55452,Estimate,County
"Columbus County, NC",2020,54754,Estimate,County
"Craven County, NC",2015,102988,Estimate,County
"Craven County, NC",2016,102784,Estimate,County
"Craven County, NC",2017,102740,Estimate,County
"Craven County, NC",2018,102663,Estimate,County
"Craven County, NC",2019,102031,Estimate,County
"Craven County, NC",2020,101233,Estimate,County
"Cumberland County, NC",2015,331598,Estimate,County
"Cumberland County, NC",2016,333723,Estimate,County
"Cumberland County, NC",2017,331702,Estimate,County
"Cumberland County, NC",2018,334495,Estimate,County
"Cumberland County, NC",2019,336524,Estimate,County
"Cumberland County, NC",2020,336364,Estimate,County
"Currituck County, NC",2015,25128,Estimate,County
"Currituck County, NC",2016,25668,Estimate,County
"Currituck County, NC",2017,26330,Estimate,County
"Currituck County, NC",2018,27084,Estimate,County
"Currituck County, NC",2019,27916,Estimate,County
"Currituck County, NC",2020,29052,Estimate,County
"Dare County, NC",2015,35499,Estimate,County
"Dare County, NC",2016,35905,Estimate,County
"Dare County, NC",2017,36257,Estimate,County
"Dare County, NC",2018,36710,Estimate,County
"Dare County, NC",2019,37071,Estimate,County
"Dare County, NC",2020,37547,Estimate,County
"Davidson County, NC",2015,163548,Estimate,County
"Davidson County, NC",2016,164497,Estimate,County
"Davidson County, NC",2017,165489,Estimate,County
"Davidson County, NC",2018,166726,Estimate,County
"Davidson County, NC",2019,168238,Estimate,County
"Davidson County, NC",2020,169234,Estimate,County
"Davie County, NC",2015,41652,Estimate,County
"Davie County, NC",2016,41927,Estimate,County
"Davie County, NC",2017,42297,Estimate,County
"Davie County, NC",2018,42504,Estimate,County
"Davie County, NC",2019,42699,Estimate,County
"Davie County, NC",2020,43286,Estimate,County
"Duplin County, NC",2015,58879,Estimate,County
"Duplin County, NC",2016,59284,Estimate,County
"Duplin County, NC",2017,58942,Estimate,County
"Duplin County, NC",2018,59001,Estimate,County
"Duplin County, NC",2019,58802,Estimate,County
"Duplin County, NC",2020,58794,Estimate,County
"Durham County, NC",2015,301014,Estimate,County
"Durham County, NC",2016,308105,Estimate,County
"Durham County, NC",2017,312466,Estimate,County
"Durham County, NC",2018,317478,Estimate,County
"Durham County, NC",2019,322969,Estimate,County
"Durham County, NC",2020,327306,Estimate,County
"Edgecombe County, NC",2015,53734,Estimate,County
"Edgecombe County, NC",2016,53281,Estimate,County
"Edgecombe County, NC",2017,52793,Estimate,County
"Edgecombe County, NC",2018,52015,Estimate,County
"Edgecombe County, NC",2019,51429,Estimate,County
"Edgecombe County, NC",2020,50829,Estimate,County
"Forsyth County, NC",2015,367516,Estimate,County
"Forsyth County, NC",2016,371437,Estimate,County
"Forsyth County, NC",2017,375901,Estimate,County
"Forsyth County, NC",2018,379196,Estimate,County
"Forsyth County, NC",2019,382118,Estimate,County
"Forsyth County, NC",2020,383843,Estimate,County
"Franklin County, NC",2015,63667,Estimate,County
"Franklin County, NC",2016,64681,Estimate,County
"Franklin County, NC",2017,66175,Estimate,County
"Franklin County, NC",2018,67646,Estimate,County
"Franklin County, NC",2019,69775,Estimate,County
"Franklin County, NC",2020,71859,Estimate,County
"Gaston County, NC",2015,212998,Estimate,County
"Gaston County, NC",2016,216727,Estimate,County
"Gaston County, NC",2017,219788,Estimate,County
"Gaston County, NC",2018,222862,Estimate,County
"Gaston County, NC",2019,224652,Estimate,County
"Gaston County, NC",2020,226568,Estimate,County
"Gates County, NC",2015,11530,Estimate,County
"Gates County, NC",2016,11570,Estimate,County
"Gates County, NC",2017,11502,Estimate,County
"Gates County, NC",2018,11524,Estimate,County
"Gates County, NC",2019,11536,Estimate,County
"Gates County, NC",2020,11464,Estimate,County
"Graham County, NC",2015,8587,Estimate,County
"Graham County, NC",2016,8540,Estimate,County
"Graham County, NC",2017,8529,Estimate,County
"Graham County, NC",2018,8490,Estimate,County
"Graham County, NC",2019,8470,Estimate,County
"Graham County, NC",2020,8474,Estimate,County
"Granville County, NC",2015,58201,Estimate,County
"Granville County, NC",2016,58719,Estimate,County
"Granville County, NC",2017,59452,Estimate,County
"Granville County, NC",2018,60100,Estimate,County
"Granville County, NC",2019,60358,Estimate,County
"Granville County, NC",2020,60486,Estimate,County
"Greene County, NC",2015,20952,Estimate,County
"Greene County, NC",2016,21087,Estimate,County
"Greene County, NC",2017,20965,Estimate,County
"Greene County, NC",2018,21041,Estimate,County
"Greene County, NC",2019,20915,Estimate,County
"Greene County, NC",2020,20928,Estimate,County
"Guilford County, NC",2015,517281,Estimate,County
"Guilford County, NC",2016,524520,Estimate,County
"Guilford County, NC",2017,528622,Estimate,County
"Guilford County, NC",2018,533244,Estimate,County
"Guilford County, NC",2019,537872,Estimate,County
"Guilford County, NC",2020,540521,Estimate,County
"Halifax County, NC",2015,52190,Estimate,County
"Halifax County, NC",2016,51814,Estimate,County
"Halifax County, NC",2017,51329,Estimate,County
"Halifax County, NC",2018,50696,Estimate,County
"Halifax County, NC",2019,50074,Estimate,County
"Halifax County, NC",2020,49479,Estimate,County
"Harnett County, NC",2015,128145,Estimate,County
"Harnett County, NC",2016,130822,Estimate,County
"Harnett County, NC",2017,132584,Estimate,County
"Harnett County, NC",2018,134649,Estimate,County
"Harnett County, NC",2019,136172,Estimate,County
"Harnett County, NC",2020,137058,Estimate,County
"Haywood County, NC",2015,59724,Estimate,County
"Haywood County, NC",2016,60493,Estimate,County
"Haywood County, NC",2017,61167,Estimate,County
"Haywood County, NC",2018,62170,Estimate,County
"Haywood County, NC",2019,62510,Estimate,County
"Haywood County, NC",2020,62972,Estimate,County
"Henderson County, NC",2015,111943,Estimate,County
"Henderson County, NC",2016,113711,Estimate,County
"Henderson County, NC",2017,115431,Estimate,County
"Henderson County, NC",2018,116557,Estimate,County
"Henderson County, NC",2019,117347,Estimate,County
"Henderson County, NC",2020,118445,Estimate,County
"Hertford County, NC",2015,24404,Estimate,County
"Hertford County, NC",2016,24211,Estimate,County
"Hertford County, NC",2017,23917,Estimate,County
"Hertford County, NC",2018,23882,Estimate,County
"Hertford County, NC",2019,23642,Estimate,County
"Hertford County, NC",2020,23108,Estimate,County
"Hoke County, NC",2015,52805,Estimate,County
"Hoke County, NC",2016,53086,Estimate,County
"Hoke County, NC",2017,54207,Estimate,County
"Hoke County, NC",2018,54661,Estimate,County
"Hoke County, NC",2019,55166,Estimate,County
"Hoke County, NC",2020,55830,Estimate,County
"Hyde County, NC",2015,5425,Estimate,County
"Hyde County, NC",2016,5434,Estimate,County
"Hyde County, NC",2017,5230,Estimate,County
"Hyde County, NC",2018,5006,Estimate,County
"Hyde County, NC",2019,4932,Estimate,County
"Hyde County, NC",2020,4843,Estimate,County
"Iredell County, NC",2015,169592,Estimate,County
"Iredell County, NC",2016,172600,Estimate,County
"Iredell County, NC",2017,175673,Estimate,County
"Iredell County, NC",2018,178358,Estimate,County
"Iredell County, NC",2019,181866,Estimate,County
"Iredell County, NC",2020,185770,Estimate,County
"Jackson County, NC",2015,41352,Estimate,County
"Jackson County, NC",2016,42645,Estimate,County
"Jackson County, NC",2017,43220,Estimate,County
"Jackson County, NC",2018,43540,Estimate,County
"Jackson County, NC",2019,43736,Estimate,County
"Jackson County, NC",2020,44033,Estimate,County
"Johnston County, NC",2015,185130,Estimate,County
"Johnston County, NC",2016,190937,Estimate,County
"Johnston County, NC",2017,196541,Estimate,County
"Johnston County, NC",2018,203031,Estimate,County
"Johnston County, NC",2019,209786,Estimate,County
"Johnston County, NC",2020,216246,Estimate,County
"Jones County, NC",2015,9770,Estimate,County
"Jones County, NC",2016,9571,Estimate,County
"Jones County, NC",2017,9550,Estimate,County
"Jones County, NC",2018,9557,Estimate,County
"Jones County, NC",2019,9339,Estimate,County
"Jones County, NC",2020,9250,Estimate,County
"Lee County, NC",2015,59402,Estimate,County
"Lee County, NC",2016,59653,Estimate,County
"Lee County, NC",2017,60418,Estimate,County
"Lee County, NC",2018,61219,Estimate,County
"Lee County, NC",2019,61772,Estimate,County
"Lee County, NC",2020,62353,Estimate,County
"Lenoir County, NC",2015,58012,Estimate,County
"Lenoir County, NC",2016,57264,Estimate,County
"Lenoir County, NC",2017,56644,Estimate,County
"Lenoir County, NC",2018,56050,Estimate,County
"Lenoir County, NC",2019,56074,Estimate,County
"Lenoir County, NC",2020,55720,Estimate,County
"Lincoln County, NC",2015,80646,Estimate,County
"Lincoln County, NC",2016,81235,Estimate,County
"Lincoln County, NC",2017,82608,Estimate,County
"Lincoln County, NC",2018,84334,Estimate,County
"Lincoln County, NC",2019,86627,Estimate,County
"Lincoln County, NC",2020,88097,Estimate,County
"McDowell County, NC",2015,44982,Estimate,County
"McDowell County, NC",2016,44876,Estimate,County
"McDowell County, NC",2017,45089,Estimate,County
"McDowell County, NC",2018,45481,Estimate,County
"McDowell County, NC",2019,45784,Estimate,County
"McDowell County, NC",2020,45782,Estimate,County
"Macon County, NC",2015,34117,Estimate,County
"Macon County, NC",2016,34299,Estimate,County
"Macon County, NC",2017,34610,Estimate,County
"Macon County, NC",2018,35226,Estimate,County
"Macon County, NC",2019,35729,Estimate,County
"Macon County, NC",2020,35994,Estimate,County
"Madison County, NC",2015,21175,Estimate,County
"Madison County, NC",2016,21402,Estimate,County
"Madison County, NC",2017,21603,Estimate,County
"Madison County, NC",2018,21659,Estimate,County
"Madison County, NC",2019,21638,Estimate,County
"Madison County, NC",2020,21740,Estimate,County
"Martin County, NC",2015,23267,Estimate,County
"Martin County, NC",2016,23121,Estimate,County
"Martin County, NC",2017,22773,Estimate,County
"Martin County, NC",2018,22696,Estimate,County
"Martin County, NC",2019,22451,Estimate,County
"Martin County, NC",2020,22178,Estimate,County
"Mecklenburg County, NC",2015,1034049,Estimate,County
"Mecklenburg County, NC",2016,1058056,Estimate,County
"Mecklenburg County, NC",2017,1079656,Estimate,County
"Mecklenburg County, NC",2018,1095911,Estimate,County
"Mecklenburg County, NC",2019,1113283,Estimate,County
"Mecklenburg County, NC",2020,1128945,Estimate,County
"Mitchell County, NC",2015,15062,Estimate,County
"Mitchell County, NC",2016,15003,Estimate,County
"Mitchell County, NC",2017,14992,Estimate,County
"Mitchell County, NC",2018,14989,Estimate,County
"Mitchell County, NC",2019,14928,Estimate,County
"Mitchell County, NC",2020,14881,Estimate,County
"Montgomery County, NC",2015,27432,Estimate,County
"Montgomery County, NC",2016,27288,Estimate,County
"Montgomery County, NC",2017,27274,Estimate,County
"Montgomery County, NC",2018,27104,Estimate,County
"Montgomery County, NC",2019,27209,Estimate,County
"Montgomery County, NC",2020,27238,Estimate,County
"Moore County, NC",2015,94057,Estimate,County
"Moore County, NC",2016,95458,Estimate,County
