Description,Year,Population,Count or Estimate,State or County Release
"Winston County, AL",2016,23911,Estimate,County
"Winston County, AL",2017,23753,Estimate,County
"Winston County, AL",2018,23690,Estimate,County
"Winston County, AL",2019,23700,Estimate,County
"Winston County, AL",2020,23508,Estimate,County
Alaska,2015,738430,Estimate,County
Alaska,2016,742575,Estimate,County
Alaska,2017,740983,Estimate,County
Alaska,2018,736624,Estimate,County
Alaska,2019,733603,Estimate,County
Alaska,2020,731158,Estimate,County
"Aleutians East Borough, AK",2015,3373,Estimate,County
"Aleutians East Borough, AK",2016,3354,Estimate,County
"Aleutians East Borough, AK",2017,3445,Estimate,County
"Aleutians East Borough, AK",2018,3391,Estimate,County
"Aleutians East Borough, AK",2019,3355,Estimate,County
"Aleutians East Borough, AK",2020,3401,Estimate,County
"Aleutians West Borough, AK",2015,5782,Estimate,County
"Aleutians West Borough, AK",2016,5718,Estimate,County
"Aleutians West Borough, AK",2017,5760,Estimate,County
"Aleutians West Borough, AK",2018,5678,Estimate,County
"Aleutians West Borough, AK",2019,5702,Estimate,County
"Aleutians West Borough, AK",2020,5680,Estimate,County
"Anchorage Borough, AK",2015,298337,Estimate,County
"Anchorage Borough, AK",2016,298072,Estimate,County
"Anchorage Borough, AK",2017,295118,Estimate,County
"Anchorage Borough, AK",2018,291377,Estimate,County
"Anchorage Borough, AK",2019,288790,Estimate,County
"Anchorage Borough, AK",2020,287095,Estimate,County
"Bethel Borough, AK",2015,17970,Estimate,County
"Bethel Borough, AK",2016,18018,Estimate,County
"Bethel Borough, AK",2017,18102,Estimate,County
"Bethel Borough, AK",2018,18267,Estimate,County
"Bethel Borough, AK",2019,18493,Estimate,County
"Bethel Borough, AK",2020,18437,Estimate,County
"Bristol Bay Borough, AK",2015,906,Estimate,County
"Bristol Bay Borough, AK",2016,906,Estimate,County
"Bristol Bay Borough, AK",2017,869,Estimate,County
"Bristol Bay Borough, AK",2018,881,Estimate,County
"Bristol Bay Borough, AK",2019,840,Estimate,County
"Bristol Bay Borough, AK",2020,788,Estimate,County
"Denali Borough, AK",2015,1940,Estimate,County
"Denali Borough, AK",2016,2068,Estimate,County
"Denali Borough, AK",2017,2103,Estimate,County
"Denali Borough, AK",2018,2047,Estimate,County
"Denali Borough, AK",2019,2125,Estimate,County
"Denali Borough, AK",2020,2081,Estimate,County
"Dillingham Borough, AK",2015,4987,Estimate,County
"Dillingham Borough, AK",2016,4968,Estimate,County
"Dillingham Borough, AK",2017,4934,Estimate,County
"Dillingham Borough, AK",2018,5003,Estimate,County
"Dillingham Borough, AK",2019,4932,Estimate,County
"Dillingham Borough, AK",2020,4833,Estimate,County
"Fairbanks North Star Borough, AK",2015,99812,Estimate,County
"Fairbanks North Star Borough, AK",2016,100877,Estimate,County
"Fairbanks North Star Borough, AK",2017,99911,Estimate,County
"Fairbanks North Star Borough, AK",2018,98749,Estimate,County
"Fairbanks North Star Borough, AK",2019,97088,Estimate,County
"Fairbanks North Star Borough, AK",2020,95651,Estimate,County
"Haines Borough, AK",2015,2519,Estimate,County
"Haines Borough, AK",2016,2531,Estimate,County
"Haines Borough, AK",2017,2526,Estimate,County
"Haines Borough, AK",2018,2502,Estimate,County
"Haines Borough, AK",2019,2561,Estimate,County
"Haines Borough, AK",2020,2614,Estimate,County
"Hoonah-Angoon Borough, AK",2015,2126,Estimate,County
"Hoonah-Angoon Borough, AK",2016,2115,Estimate,County
"Hoonah-Angoon Borough, AK",2017,2135,Estimate,County
"Hoonah-Angoon Borough, AK",2018,2139,Estimate,County
"Hoonah-Angoon Borough, AK",2019,2144,Estimate,County
"Hoonah-Angoon Borough, AK",2020,2141,Estimate,County
"Juneau Borough, AK",2015,32644,Estimate,County
"Juneau Borough, AK",2016,32456,Estimate,County
"Juneau Borough, AK",2017,32106,Estimate,County
"Juneau Borough, AK",2018,32044,Estimate,County
"Juneau Borough, AK",2019,32038,Estimate,County
"Juneau Borough, AK",2020,31849,Estimate,County
"Kenai Peninsula Borough, AK",2015,58075,Estimate,County
"Kenai Peninsula Borough, AK",2016,58515,Estimate,County
"Kenai Peninsula Borough, AK",2017,58594,Estimate,County
"Kenai Peninsula Borough, AK",2018,58609,Estimate,County
"Kenai Peninsula Borough, AK",2019,58914,Estimate,County
"Kenai Peninsula Borough, AK",2020,59414,Estimate,County
"Ketchikan Gateway Borough, AK",2015,13737,Estimate,County
"Ketchikan Gateway Borough, AK",2016,13760,Estimate,County
"Ketchikan Gateway Borough, AK",2017,13874,Estimate,County
"Ketchikan Gateway Borough, AK",2018,13881,Estimate,County
"Ketchikan Gateway Borough, AK",2019,13905,Estimate,County
"Ketchikan Gateway Borough, AK",2020,13747,Estimate,County
"Kodiak Island Borough, AK",2015,13760,Estimate,County
"Kodiak Island Borough, AK",2016,13722,Estimate,County
"Kodiak Island Borough, AK",2017,13605,Estimate,County
"Kodiak Island Borough, AK",2018,13389,Estimate,County
"Kodiak Island Borough, AK",2019,13209,Estimate,County
"Kodiak Island Borough, AK",2020,12992,Estimate,County
"Lake and Peninsula Borough, AK",2015,1597,Estimate,County
"Lake and Peninsula Borough, AK",2016,1595,Estimate,County
"Lake and Peninsula Borough, AK",2017,1606,Estimate,County
"Lake and Peninsula Borough, AK",2018,1586,Estimate,County
"Lake and Peninsula Borough, AK",2019,1583,Estimate,County
"Lake and Peninsula Borough, AK",2020,1493,Estimate,County
"Matanuska-Susitna Borough, AK",2015,101162,Estimate,County
"Matanuska-Susitna Borough, AK",2016,104258,Estimate,County
"Matanuska-Susitna Borough, AK",2017,106426,Estimate,County
"Matanuska-Susitna Borough, AK",2018,107325,Estimate,County
"Matanuska-Susitna Borough, AK",2019,108578,Estimate,County
"Matanuska-Susitna Borough, AK",2020,110213,Estimate,County
"Nome Borough, AK",2015,9901,Estimate,County
"Nome Borough, AK",2016,9983,Estimate,County
"Nome Borough, AK",2017,10038,Estimate,County
"Nome Borough, AK",2018,10073,Estimate,County
"Nome Borough, AK",2019,10040,Estimate,County
"Nome Borough, AK",2020,9909,Estimate,County
"North Slope Borough, AK",2015,9382,Estimate,County
"North Slope Borough, AK",2016,9292,Estimate,County
"North Slope Borough, AK",2017,9401,Estimate,County
"North Slope Borough, AK",2018,9455,Estimate,County
"North Slope Borough, AK",2019,9433,Estimate,County
"North Slope Borough, AK",2020,9294,Estimate,County
"Northwest Arctic Borough, AK",2015,7787,Estimate,County
"Northwest Arctic Borough, AK",2016,7709,Estimate,County
"Northwest Arctic Borough, AK",2017,7805,Estimate,County
"Northwest Arctic Borough, AK",2018,7715,Estimate,County
"Northwest Arctic Borough, AK",2019,7673,Estimate,County
"Northwest Arctic Borough, AK",2020,7644,Estimate,County
"Petersburg Borough, AK",2015,3251,Estimate,County
"Petersburg Borough, AK",2016,3262,Estimate,County
"Petersburg Borough, AK",2017,3284,Estimate,County
"Petersburg Borough, AK",2018,3256,Estimate,County
"Petersburg Borough, AK",2019,3294,Estimate,County
"Petersburg Borough, AK",2020,3296,Estimate,County
"Prince of Wales-Hyder Borough, AK",2015,6508,Estimate,County
"Prince of Wales-Hyder Borough, AK",2016,6521,Estimate,County
"Prince of Wales-Hyder Borough, AK",2017,6441,Estimate,County
"Prince of Wales-Hyder Borough, AK",2018,6372,Estimate,County
"Prince of Wales-Hyder Borough, AK",2019,6211,Estimate,County
"Prince of Wales-Hyder Borough, AK",2020,6147,Estimate,County
"Sitka Borough, AK",2015,8789,Estimate,County
"Sitka Borough, AK",2016,8744,Estimate,County
"Sitka Borough, AK",2017,8640,Estimate,County
"Sitka Borough, AK",2018,8555,Estimate,County
"Sitka Borough, AK",2019,8501,Estimate,County
"Sitka Borough, AK",2020,8405,Estimate,County
"Skagway Borough, AK",2015,1090,Estimate,County
"Skagway Borough, AK",2016,1132,Estimate,County
"Skagway Borough, AK",2017,1173,Estimate,County
"Skagway Borough, AK",2018,1172,Estimate,County
"Skagway Borough, AK",2019,1193,Estimate,County
"Skagway Borough, AK",2020,1179,Estimate,County
"Southeast Fairbanks Borough, AK",2015,6827,Estimate,County
"Southeast Fairbanks Borough, AK",2016,6853,Estimate,County
"Southeast Fairbanks Borough, AK",2017,6918,Estimate,County
"Southeast Fairbanks Borough, AK",2018,6946,Estimate,County
"Southeast Fairbanks Borough, AK",2019,6879,Estimate,County
"Southeast Fairbanks Borough, AK",2020,6957,Estimate,County
