Date_parsed,State,Year,Month,Data Value,State Name
2016-03-01,AR,2016,March,363.0,Arkansas
2016-05-01,AR,2016,May,376.0,Arkansas
2016-11-01,AR,2016,November,378.0,Arkansas
2016-10-01,AR,2016,October,372.0,Arkansas
2016-09-01,AR,2016,September,379.0,Arkansas
2017-04-01,AR,2017,April,386.0,Arkansas
2017-08-01,AR,2017,August,406.0,Arkansas
2017-12-01,AR,2017,December,425.0,Arkansas
2017-02-01,AR,2017,February,380.0,Arkansas
2017-01-01,AR,2017,January,384.0,Arkansas
2017-07-01,AR,2017,July,395.0,Arkansas
2017-06-01,AR,2017,June,398.0,Arkansas
2017-03-01,AR,2017,March,384.0,Arkansas
2017-05-01,AR,2017,May,383.0,Arkansas
2017-11-01,AR,2017,November,411.0,Arkansas
2017-10-01,AR,2017,October,410.0,Arkansas
2017-09-01,AR,2017,September,413.0,Arkansas
2018-04-01,AR,2018,April,425.0,Arkansas
2018-08-01,AR,2018,August,455.0,Arkansas
2018-12-01,AR,2018,December,433.0,Arkansas
2018-02-01,AR,2018,February,424.0,Arkansas
2018-01-01,AR,2018,January,427.0,Arkansas
2018-07-01,AR,2018,July,451.0,Arkansas
2018-06-01,AR,2018,June,447.0,Arkansas
2018-03-01,AR,2018,March,430.0,Arkansas
2018-05-01,AR,2018,May,443.0,Arkansas
2018-11-01,AR,2018,November,446.0,Arkansas
2018-10-01,AR,2018,October,457.0,Arkansas
2018-09-01,AR,2018,September,448.0,Arkansas
2019-04-01,AR,2019,April,434.0,Arkansas
2019-08-01,AR,2019,August,355.0,Arkansas
2019-12-01,AR,2019,December,362.0,Arkansas
2019-02-01,AR,2019,February,451.0,Arkansas
2019-01-01,AR,2019,January,439.0,Arkansas
2019-07-01,AR,2019,July,381.0,Arkansas
2019-06-01,AR,2019,June,395.0,Arkansas
2019-03-01,AR,2019,March,437.0,Arkansas
2019-05-01,AR,2019,May,411.0,Arkansas
2019-11-01,AR,2019,November,363.0,Arkansas
2019-10-01,AR,2019,October,357.0,Arkansas
2019-09-01,AR,2019,September,354.0,Arkansas
2020-04-01,AR,2020,April,402.0,Arkansas
2020-08-01,AR,2020,August,481.0,Arkansas
2020-12-01,AR,2020,December,514.0,Arkansas
2020-02-01,AR,2020,February,370.0,Arkansas
2020-01-01,AR,2020,January,367.0,Arkansas
2020-07-01,AR,2020,July,460.0,Arkansas
2020-06-01,AR,2020,June,435.0,Arkansas
2020-03-01,AR,2020,March,384.0,Arkansas
2020-05-01,AR,2020,May,416.0,Arkansas
2020-11-01,AR,2020,November,506.0,Arkansas
2020-10-01,AR,2020,October,498.0,Arkansas
2020-09-01,AR,2020,September,492.0,Arkansas
2021-02-01,AR,2021,February,525.0,Arkansas
2021-01-01,AR,2021,January,513.0,Arkansas
2021-03-01,AR,2021,March,535.0,Arkansas
2015-04-01,AZ,2015,April,1173.0,Arizona
2015-08-01,AZ,2015,August,1240.0,Arizona
2015-12-01,AZ,2015,December,1267.0,Arizona
2015-02-01,AZ,2015,February,1175.0,Arizona
2015-01-01,AZ,2015,January,1193.0,Arizona
2015-07-01,AZ,2015,July,1201.0,Arizona
2015-06-01,AZ,2015,June,1209.0,Arizona
2015-03-01,AZ,2015,March,1174.0,Arizona
2015-05-01,AZ,2015,May,1184.0,Arizona
2015-11-01,AZ,2015,November,1269.0,Arizona
2015-10-01,AZ,2015,October,1264.0,Arizona
2015-09-01,AZ,2015,September,1241.0,Arizona
2016-04-01,AZ,2016,April,1335.0,Arizona
2016-08-01,AZ,2016,August,1410.0,Arizona
2016-12-01,AZ,2016,December,1393.0,Arizona
2016-02-01,AZ,2016,February,1307.0,Arizona
2016-01-01,AZ,2016,January,1298.0,Arizona
2016-07-01,AZ,2016,July,1421.0,Arizona
2016-06-01,AZ,2016,June,1370.0,Arizona
2016-03-01,AZ,2016,March,1313.0,Arizona
2016-05-01,AZ,2016,May,1350.0,Arizona
2016-11-01,AZ,2016,November,1397.0,Arizona
2016-10-01,AZ,2016,October,1405.0,Arizona
2016-09-01,AZ,2016,September,1404.0,Arizona
2017-04-01,AZ,2017,April,1418.0,Arizona
2017-08-01,AZ,2017,August,1468.0,Arizona
2017-12-01,AZ,2017,December,1555.0,Arizona
2017-02-01,AZ,2017,February,1411.0,Arizona
2017-01-01,AZ,2017,January,1417.0,Arizona
2017-07-01,AZ,2017,July,1450.0,Arizona
2017-06-01,AZ,2017,June,1455.0,Arizona
2017-03-01,AZ,2017,March,1429.0,Arizona
2017-05-01,AZ,2017,May,1437.0,Arizona
2017-11-01,AZ,2017,November,1517.0,Arizona
2017-10-01,AZ,2017,October,1503.0,Arizona
2017-09-01,AZ,2017,September,1492.0,Arizona
2018-04-01,AZ,2018,April,1611.0,Arizona
2018-08-01,AZ,2018,August,1676.0,Arizona
2018-12-01,AZ,2018,December,1730.0,Arizona
2018-02-01,AZ,2018,February,1582.0,Arizona
2018-01-01,AZ,2018,January,1571.0,Arizona
2018-07-01,AZ,2018,July,1652.0,Arizona
2018-06-01,AZ,2018,June,1606.0,Arizona
2018-03-01,AZ,2018,March,1594.0,Arizona
2018-05-01,AZ,2018,May,1607.0,Arizona
2018-11-01,AZ,2018,November,1706.0,Arizona
2018-10-01,AZ,2018,October,1672.0,Arizona
2018-09-01,AZ,2018,September,1676.0,Arizona
2019-04-01,AZ,2019,April,1768.0,Arizona
2019-08-01,AZ,2019,August,1830.0,Arizona
2019-12-01,AZ,2019,December,1981.0,Arizona
2019-02-01,AZ,2019,February,1747.0,Arizona
2019-01-01,AZ,2019,January,1725.0,Arizona
2019-07-01,AZ,2019,July,1815.0,Arizona
